City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
110,Mama,RU,2020-05-08 18:45:14,58.31,112.9,30.34,90,30,2.1,scattered clouds,0,0
111,La Ronge,CA,2020-05-08 18:41:17,55.1,-105.28,41.0,48,90,4.7,overcast clouds,0,0
112,Bandiagara,ML,2020-05-08 18:45:14,14.35,-3.61,107.6,17,20,4.7,few clouds,0,0
113,Hamilton,US,2020-05-08 18:37:14,39.18,-84.53,50.0,76,90,10.29,light rain,0,0
114,Kayerkan,RU,2020-05-08 18:45:15,69.35,87.76,35.6,93,75,20.13,broken clouds,0,0
115,Bull Savanna,JM,2020-05-08 18:45:18,17.89,-77.59,84.16,69,26,18.21,light rain,0,0
116,Barrow,US,2020-05-08 18:34:16,71.29,-156.79,21.07,98,97,11.81,overcast clouds,0,0
117,Faya,SA,2020-05-08 18:37:20,18.39,42.45,69.8,88,13,5.82,few clouds,0,0
118,Cabo San Lucas,MX,2020-05-08 18:38:37,22.89,-109.91,87.8,20,5,6.93,clear sky,0,0
119,Kamenskiy,RU,2020-05-08 18:45:18,50.89,45.49,56.37,87,100,8.16,overcast clouds,0,0
120,Aras,ES,2020-05-08 18:45:19,42.56,-2.36,73.4,46,17,2.24,light rain,0,0
121,Korla,CN,2020-05-08 18:36:45,41.76,86.15,61.79,29,5,3.56,clear sky,0,0
122,Makakilo City,US,2020-05-08 18:37:30,21.35,-158.09,75.2,68,1,8.05,clear sky,0,0
123,Victoria,HK,2020-05-08 18:35:08,22.29,114.16,82.0,83,36,7.0,scattered clouds,0,0
124,Tignere,CM,2020-05-08 18:45:22,7.37,12.65,68.99,76,20,0.31,few clouds,0,0
125,Upernavik,GL,2020-05-08 18:36:49,72.79,-56.15,22.03,86,97,5.73,overcast clouds,0,0
126,Padang,ID,2020-05-08 18:38:55,-0.95,100.35,79.45,74,100,4.09,overcast clouds,0,0
127,Grand Gaube,MU,2020-05-08 18:37:31,-20.01,57.66,73.0,81,2,1.01,clear sky,0,0
128,Henties Bay,NA,2020-05-08 18:40:37,-22.12,14.28,68.99,51,0,7.52,clear sky,0,0
129,Svetlaya,RU,2020-05-08 18:45:23,46.54,138.33,48.29,68,96,5.84,overcast clouds,0,0
130,Vardo,NO,2020-05-08 18:37:34,70.37,31.11,33.8,74,75,9.17,broken clouds,0,0
131,Siparia,TT,2020-05-08 18:45:24,10.13,-61.5,90.0,66,100,13.96,overcast clouds,0,0
132,Shingu,JP,2020-05-08 18:45:25,33.73,135.98,58.42,80,100,2.89,overcast clouds,0,0
133,Ancud,CL,2020-05-08 18:43:22,-41.87,-73.82,57.0,100,90,16.11,overcast clouds,0,0
134,Rio Do Sul,BR,2020-05-08 18:45:11,-27.21,-49.64,73.99,53,0,0.49,clear sky,0,0
135,Kashi,CN,2020-05-08 18:45:25,39.45,75.98,59.0,67,54,4.47,broken clouds,0,0
136,Naze,JP,2020-05-08 18:45:26,28.37,129.48,71.6,88,90,8.05,overcast clouds,0,0
137,Pisco,PE,2020-05-08 18:37:19,-13.7,-76.22,71.6,73,7,12.75,clear sky,0,0
138,Pangnirtung,CA,2020-05-08 18:40:08,66.15,-65.71,23.0,85,90,5.82,overcast clouds,0,0
139,Piacabucu,BR,2020-05-08 18:40:56,-10.41,-36.43,81.45,71,100,7.87,overcast clouds,0,0
