City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,Lompoc,US,2020-05-06 18:57:18,34.64,-120.46,82.4,43,1,18.34
130,Williams Lake,CA,2020-05-06 18:58:34,52.14,-122.14,50.0,35,90,12.75
131,Fallon,US,2020-05-06 18:58:34,39.47,-118.78,71.6,10,20,10.29
132,Aksu,CN,2020-05-06 18:57:04,41.12,80.26,66.15,26,49,15.3
133,Biella,IT,2020-05-06 18:58:35,45.59,8.09,66.0,66,80,1.99
134,Severo-Kurilsk,RU,2020-05-06 18:56:28,50.68,156.12,33.22,91,39,15.3
135,Sioux Lookout,CA,2020-05-06 18:56:12,50.1,-91.92,44.6,36,20,5.82
136,Souillac,MU,2020-05-06 18:56:20,-20.52,57.52,73.4,88,20,3.36
137,Butaritari,KI,2020-05-06 18:56:23,3.07,172.79,82.87,79,9,11.36
138,Znamenskoye,RU,2020-05-06 18:58:36,57.13,73.83,57.99,58,100,6.6
139,Elgin,US,2020-05-06 18:55:52,42.04,-88.28,62.01,28,1,5.82
140,Sinnamary,GF,2020-05-06 18:58:33,5.38,-52.95,80.02,88,100,10.11
141,Saskylakh,RU,2020-05-06 18:56:42,71.92,114.08,-4.38,91,93,5.5
142,Longyearbyen,SJ,2020-05-06 18:56:19,78.22,15.64,33.8,74,75,17.22
143,Avarua,CK,2020-05-06 18:56:52,-21.21,-159.78,80.6,88,22,8.05
144,Kavieng,PG,2020-05-06 18:56:20,-2.57,150.8,81.27,79,96,4.23
145,Chimore,BO,2020-05-06 18:58:37,-16.98,-65.13,66.58,97,100,3.49
146,Codrington,AU,2020-05-06 18:56:33,-38.27,141.97,58.01,49,100,18.54
147,Mar Del Plata,AR,2020-05-06 18:54:29,-38.0,-57.56,57.99,62,75,13.87
148,Norman Wells,CA,2020-05-06 18:56:18,65.28,-126.83,46.4,81,75,4.76
149,Ust-Maya,RU,2020-05-06 18:58:38,60.42,134.53,29.3,97,3,1.7
150,Veraval,IN,2020-05-06 18:58:38,20.9,70.37,81.05,89,0,10.04
151,Luganville,VU,2020-05-06 18:58:38,-15.53,167.17,74.98,87,100,17.6
152,Lebu,CL,2020-05-06 18:56:06,-37.62,-73.65,60.33,58,83,17.54
153,Vila Franca Do Campo,PT,2020-05-06 18:57:25,37.72,-25.43,64.4,93,75,5.82
154,Saint Anthony,US,2020-05-06 18:54:16,45.02,-93.22,64.99,29,75,17.22
155,Gambo,CF,2020-05-06 18:58:41,4.65,22.26,74.01,89,90,0.22
156,Kutum,SD,2020-05-06 18:57:31,14.2,24.67,81.54,16,100,10.47
157,Medea,DZ,2020-05-06 18:58:44,36.26,2.75,69.8,77,40,8.05
158,Fortuna,US,2020-05-06 18:53:02,40.6,-124.16,60.01,67,1,13.87
159,Broken Hill,AU,2020-05-06 18:56:21,-31.95,141.43,62.6,34,100,11.41
160,Teguise,ES,2020-05-06 18:58:47,29.06,-13.56,71.6,56,20,16.11
161,Hofn,IS,2020-05-06 18:58:48,64.25,-15.21,46.4,61,20,6.93
162,Arlit,NE,2020-05-06 18:57:53,18.74,7.39,89.74,10,0,9.31
163,Amahai,ID,2020-05-06 18:58:48,-3.33,128.92,79.47,82,0,2.59
164,Abnub,EG,2020-05-06 18:58:48,27.27,31.15,75.2,38,0,9.17
165,Talaya,RU,2020-05-06 18:58:49,61.38,152.75,23.52,96,100,8.37
166,Del Rio,US,2020-05-06 18:58:49,29.36,-100.9,80.6,39,40,6.93
167,Saint-Pierre,RE,2020-05-06 18:58:49,-21.34,55.48,75.2,83,75,3.36
168,Port Hedland,AU,2020-05-06 18:58:51,-20.32,118.57,68.0,77,5,11.41
169,Chilca,PE,2020-05-06 18:58:52,-12.52,-76.74,75.2,64,99,8.05
170,Brasilia,BR,2020-05-06 18:58:52,-15.78,-47.93,82.4,39,75,6.93
171,Kedrovyy,RU,2020-05-06 18:58:52,56.17,91.82,46.4,61,40,13.42
172,Chissamba,AO,2020-05-06 18:58:52,-12.17,17.33,65.61,65,2,3.18
173,Kambove,CD,2020-05-06 18:58:52,-10.88,26.6,59.95,84,44,4.65
174,Balkanabat,TM,2020-05-06 18:58:53,39.51,54.37,84.85,24,100,34.11
175,Aracataca,CO,2020-05-06 18:58:53,10.59,-74.19,93.0,64,79,1.01
176,Alice,US,2020-05-06 18:58:53,27.75,-98.07,87.8,48,40,10.29
177,Ilulissat,GL,2020-05-06 18:57:19,69.22,-51.1,30.2,54,40,5.82
178,Rota,ES,2020-05-06 18:58:54,36.62,-6.36,78.8,53,96,11.41
179,Loralai,PK,2020-05-06 18:58:54,30.37,68.6,74.41,19,0,14.76
180,Dzaoudzi,YT,2020-05-06 18:58:54,-12.79,45.27,82.4,78,75,13.87
181,Broome,US,2020-05-06 18:58:55,42.25,-75.83,50.0,52,90,3.36
182,Castro,BR,2020-05-06 18:56:32,-24.79,-50.01,61.56,92,100,8.03
183,Manggar,ID,2020-05-06 18:57:25,-2.88,108.27,82.6,83,98,9.33
184,Isverna,RO,2020-05-06 18:58:55,44.98,22.63,40.8,73,0,6.91
185,Port Alfred,ZA,2020-05-06 18:57:03,-33.59,26.89,65.73,79,81,4.5
186,Port Lincoln,AU,2020-05-06 18:56:08,-34.73,135.87,57.79,80,98,17.31
187,Airai,TL,2020-05-06 18:57:00,-8.93,125.41,61.21,100,45,3.4
188,Oriximina,BR,2020-05-06 18:58:56,-1.77,-55.87,78.98,84,100,2.82
189,Paamiut,GL,2020-05-06 18:57:13,61.99,-49.67,36.75,96,100,1.74
190,Lubango,AO,2020-05-06 18:58:56,-14.92,13.49,63.03,52,25,5.91
191,Zhigalovo,RU,2020-05-06 18:58:57,54.81,105.16,36.43,87,93,8.93
192,Bentiu,SS,2020-05-06 18:54:06,9.23,29.83,90.79,35,100,5.41
193,Fairbanks,US,2020-05-06 18:51:38,64.84,-147.72,54.0,43,1,4.7
194,Plaisance-Du-Touch,FR,2020-05-06 18:58:57,43.57,1.3,73.4,46,37,6.93
195,Chabahar,IR,2020-05-06 18:58:58,25.29,60.64,88.27,49,0,14.99
196,Bac Lieu,VN,2020-05-06 18:58:58,9.29,105.72,84.7,71,21,4.34
197,Aklavik,CA,2020-05-06 18:52:04,68.22,-135.01,21.2,85,90,8.05
198,Buzmeyin,TM,2020-05-06 18:59:01,38.05,58.21,78.8,47,75,11.41
199,Tuatapere,NZ,2020-05-06 18:56:41,-46.13,167.68,50.52,86,80,7.05
200,Poplar Bluff,US,2020-05-06 18:57:23,36.76,-90.39,59.0,50,20,8.05
201,Merauke,ID,2020-05-06 18:57:31,-8.47,140.33,77.32,82,100,13.31
202,Acari,PE,2020-05-06 18:59:08,-15.43,-74.62,79.83,44,36,9.17
203,Podgorenskiy,RU,2020-05-06 18:59:08,50.41,39.64,57.63,90,100,8.21
204,Ritchie,ZA,2020-05-06 18:59:08,-29.04,24.6,51.8,66,0,2.24
205,Hamilton,US,2020-05-06 18:57:17,39.18,-84.53,60.01,44,75,11.41
206,Dali,CN,2020-05-06 18:59:09,25.7,100.18,58.21,79,0,5.82
207,Miri,MY,2020-05-06 18:56:13,4.41,114.01,80.6,94,75,3.36
208,Aguimes,ES,2020-05-06 18:59:09,27.91,-15.45,72.0,68,40,20.8
209,Tasiilaq,GL,2020-05-06 18:56:12,65.61,-37.64,33.8,64,75,4.7
210,Stornoway,GB,2020-05-06 18:56:52,58.21,-6.39,53.01,71,0,11.41
211,Sakakah,SA,2020-05-06 18:59:10,29.97,40.21,73.4,25,0,4.7
212,Wagar,SD,2020-05-06 18:59:10,16.15,36.2,83.53,45,3,19.48
213,Laguna,US,2020-05-06 18:57:10,38.42,-121.42,77.0,27,1,21.92
214,Lindi,TZ,2020-05-06 18:59:10,-10.0,39.72,77.0,88,75,9.17
215,Taggia,IT,2020-05-06 18:59:10,43.85,7.85,64.99,77,75,5.82
216,Vila Velha,BR,2020-05-06 18:56:58,-20.33,-40.29,87.8,48,36,9.17
217,Coachella,US,2020-05-06 18:59:11,33.68,-116.17,100.0,12,1,4.81
218,Dikson,RU,2020-05-06 18:56:33,73.51,80.55,3.15,94,4,8.48
219,Araouane,ML,2020-05-06 18:59:12,18.9,-3.53,99.34,12,70,7.83
220,Mezen,RU,2020-05-06 18:59:12,65.85,44.24,38.21,98,100,2.62
221,Salalah,OM,2020-05-06 18:56:57,17.02,54.09,84.2,79,20,6.93
222,Cherskiy,RU,2020-05-06 18:56:57,68.75,161.3,28.42,93,100,2.73
223,Krasnoselkup,RU,2020-05-06 18:59:12,65.7,82.47,31.55,99,100,7.18
224,Policoro,IT,2020-05-06 18:59:13,40.21,16.67,68.0,72,75,13.87
225,Golega,PT,2020-05-06 18:59:13,39.4,-8.49,71.01,99,100,5.01
226,Lata,PT,2020-05-06 18:59:14,40.16,-8.33,69.01,76,100,5.99
227,Kargil,IN,2020-05-06 18:59:15,34.57,76.1,33.94,77,100,4.83
228,Akropong,GH,2020-05-06 18:59:16,5.97,-0.09,86.0,79,20,14.99
229,Khatanga,RU,2020-05-06 18:56:17,71.97,102.5,6.49,89,100,13.98
230,Taft,IR,2020-05-06 18:59:16,31.75,54.21,78.8,27,20,9.17
231,Naze,JP,2020-05-06 18:59:16,28.37,129.48,73.4,88,90,18.34
232,Saint-Joseph,RE,2020-05-06 18:59:17,-21.37,55.62,75.2,83,75,3.36
233,Kamaishi,JP,2020-05-06 18:59:17,39.27,141.88,45.84,79,27,7.0
234,Suntar,RU,2020-05-06 18:59:17,62.14,117.63,38.8,95,100,3.67
235,Karratha,AU,2020-05-06 18:57:13,-20.74,116.85,72.03,76,0,2.35
236,Oranjestad,AW,2020-05-06 18:57:11,12.52,-70.03,87.8,66,40,24.16
237,Kysyl-Syr,RU,2020-05-06 18:59:18,63.9,122.76,34.23,94,100,7.31
238,Zvishavane,ZW,2020-05-06 18:59:18,-20.33,30.07,59.83,62,0,4.7
239,Nanortalik,GL,2020-05-06 18:56:48,60.14,-45.24,41.83,77,100,9.48
240,Ransang,PH,2020-05-06 18:59:18,8.96,117.58,80.92,80,99,3.31
241,Murgab,TM,2020-05-06 18:59:19,37.5,61.97,75.2,50,75,9.17
242,Homberg,DE,2020-05-06 18:59:19,51.03,9.4,59.0,77,0,4.7
243,Khandyga,RU,2020-05-06 18:56:22,62.67,135.6,26.67,97,4,3.78
244,Caravelas,BR,2020-05-06 18:59:19,-17.71,-39.25,79.97,66,0,8.14
245,Baykit,RU,2020-05-06 18:59:20,61.67,96.37,36.16,82,100,2.48
246,Brewster,US,2020-05-06 18:59:20,41.4,-73.62,52.0,50,90,10.29
247,Pahrump,US,2020-05-06 18:57:36,36.21,-115.98,89.01,11,100,1.99
248,Yellowknife,CA,2020-05-06 18:56:10,62.46,-114.35,42.8,48,75,13.87
249,Sao Joao Da Barra,BR,2020-05-06 18:54:38,-21.64,-41.05,87.8,48,40,6.93
250,Imeni Poliny Osipenko,RU,2020-05-06 18:59:21,52.42,136.49,36.34,78,0,1.14
251,Svetlyy,RU,2020-05-06 18:59:21,54.67,20.13,46.4,75,100,11.18
252,Saint-Augustin,CA,2020-05-06 18:56:21,51.23,-58.65,36.9,97,100,11.36
253,Paragould,US,2020-05-06 18:59:22,36.06,-90.5,62.6,48,6,12.75
254,Cap Malheureux,MU,2020-05-06 18:59:22,-19.98,57.61,75.0,82,2,5.99
255,Georgetown,MY,2020-05-06 18:55:49,5.41,100.34,84.2,94,20,3.67
256,Valparaiso,CL,2020-05-06 18:55:42,-33.04,-71.63,77.0,27,0,5.82
257,Masaka,UG,2020-05-06 18:59:23,-0.33,31.73,66.25,93,100,4.79
258,Aykhal,RU,2020-05-06 18:55:59,66.0,111.5,10.4,72,100,8.95
259,Ambulu,ID,2020-05-06 18:56:53,-8.35,113.61,76.17,89,99,3.78
260,Natal,BR,2020-05-06 18:55:33,-5.79,-35.21,84.2,74,40,13.87
261,Saint-Ambroise,CA,2020-05-06 18:59:24,48.55,-71.33,48.2,29,20,9.17
262,Tabas,IR,2020-05-06 18:59:24,33.6,56.92,91.4,16,100,9.17
263,Roald,NO,2020-05-06 18:58:04,62.58,6.13,45.0,70,75,9.17
264,Wuning,CN,2020-05-06 18:59:24,29.26,120.23,67.32,91,97,3.6
265,Kuusamo,FI,2020-05-06 18:59:25,65.97,29.18,41.0,52,0,5.82
266,Laurel,US,2020-05-06 18:57:22,39.1,-76.85,54.0,93,75,7.38
267,Boali,CF,2020-05-06 18:59:25,4.8,18.13,84.2,66,90,3.36
